time, count
39316.73264,6
39316.73333,7
39316.73403,5
39316.73472,6
39316.73542,3
39316.73611,9
39316.73681,4
39316.7375,4
39316.73819,4
39316.73889,2
39316.73958,6
39316.74028,3
39316.74097,3
39316.74167,2
39316.74236,6
39316.74306,4
39316.74375,124
39316.74444,4287
39316.74514,12530
39316.74583,19338
39316.74653,23748
39316.74722,25173
39316.74792,25034
39316.74861,24804
39316.74931,24447
39316.75,23869
39316.75069,23553
39316.75139,22900
39316.75208,22329
39316.75278,21771
39316.75347,21351
39316.75417,20805
39316.75486,20110
39316.75556,19413
