time,ts,count
2011-10-05 23:32:39,1317879159,318
2011-10-05 23:33:00,1317879180,826
2011-10-05 23:34:00,1317879240,831
2011-10-05 23:35:00,1317879300,838
2011-10-05 23:36:00,1317879360,804
2011-10-05 23:37:00,1317879420,1263
2011-10-05 23:38:00,1317879480,2103
2011-10-05 23:39:00,1317879540,2843
2011-10-05 23:40:00,1317879600,3694
2011-10-05 23:41:00,1317879660,4794
2011-10-05 23:42:00,1317879720,6180
2011-10-05 23:43:00,1317879780,7493
2011-10-05 23:44:00,1317879840,8898
2011-10-05 23:45:00,1317879900,10938
2011-10-05 23:46:00,1317879960,13650
2011-10-05 23:47:00,1317880020,15931
2011-10-05 23:48:00,1317880080,17635
2011-10-05 23:49:00,1317880140,18888
2011-10-05 23:50:00,1317880200,19640
2011-10-05 23:51:00,1317880260,20146
2011-10-05 23:52:00,1317880320,20987
2011-10-05 23:53:00,1317880380,22532
2011-10-05 23:54:00,1317880440,22447
2011-10-05 23:55:00,1317880500,22659
2011-10-05 23:56:00,1317880560,22379
2011-10-05 23:57:00,1317880620,22875
2011-10-05 23:58:00,1317880680,22644
2011-10-05 23:59:00,1317880740,22803
2011-10-06 00:00:00,1317880800,22097
2011-10-06 00:01:00,1317880860,21514
2011-10-06 00:02:00,1317880920,21614
2011-10-06 00:03:00,1317880980,20799
2011-10-06 00:04:00,1317881040,20867
2011-10-06 00:05:00,1317881100,20858
2011-10-06 00:06:00,1317881160,19866
2011-10-06 00:07:00,1317881220,19540
2011-10-06 00:08:00,1317881280,19307
2011-10-06 00:09:00,1317881340,17929
2011-10-06 00:10:00,1317881400,14273
2011-10-06 00:11:00,1317881460,16916
2011-10-06 00:12:00,1317881520,17222
2011-10-06 00:13:00,1317881580,16588
2011-10-06 00:14:00,1317881640,15937
2011-10-06 00:15:00,1317881700,16539
2011-10-06 00:16:00,1317881760,16216
2011-10-06 00:17:00,1317881820,15698
2011-10-06 00:18:00,1317881880,15244
2011-10-06 00:19:00,1317881940,15422
2011-10-06 00:20:00,1317882000,14968
2011-10-06 00:21:00,1317882060,14681
2011-10-06 00:22:00,1317882120,14592
2011-10-06 00:23:00,1317882180,14464
2011-10-06 00:24:00,1317882240,13993
2011-10-06 00:25:00,1317882300,13574
2011-10-06 00:26:00,1317882360,13118
2011-10-06 00:27:00,1317882420,12785
2011-10-06 00:28:00,1317882480,12910
2011-10-06 00:29:00,1317882540,12713
