time,ts,count
2011/10/05 23:32,1317879160,84
2011/10/05 23:33,1317879180,233
2011/10/05 23:34,1317879240,216
2011/10/05 23:35,1317879300,310
2011/10/05 23:36,1317879360,948
2011/10/05 23:37,1317879420,3907
2011/10/05 23:38,1317879480,7426
2011/10/05 23:39,1317879540,9699
2011/10/05 23:40,1317879600,12509
2011/10/05 23:41,1317879660,15799
2011/10/05 23:42,1317879720,19662
2011/10/05 23:43,1317879780,23323
2011/10/05 23:44,1317879840,26624
2011/10/05 23:45,1317879900,30410
2011/10/05 23:46,1317879960,34799
2011/10/05 23:47,1317880020,37940
2011/10/05 23:48,1317880080,40518
2011/10/05 23:49,1317880140,42501
2011/10/05 23:50,1317880200,44088
2011/10/05 23:51,1317880260,45161
2011/10/05 23:52,1317880320,46293
2011/10/05 23:53,1317880380,47562
2011/10/05 23:54,1317880440,47425
2011/10/05 23:55,1317880500,47003
2011/10/05 23:56,1317880560,47852
2011/10/05 23:57,1317880620,50741
2011/10/05 23:58,1317880680,49818
2011/10/05 23:59,1317880740,49160
2011/10/06 00:00,1317880800,47587
2011/10/06 00:01,1317880860,46237
2011/10/06 00:02,1317880920,46099
2011/10/06 00:03,1317880980,45186
2011/10/06 00:04,1317881040,44649
2011/10/06 00:05,1317881100,45211
2011/10/06 00:06,1317881160,43476
2011/10/06 00:07,1317881220,42205
2011/10/06 00:08,1317881280,41723
2011/10/06 00:09,1317881340,39338
2011/10/06 00:10,1317881400,31417
2011/10/06 00:11,1317881460,38041
2011/10/06 00:12,1317881520,38864
2011/10/06 00:13,1317881580,38218
2011/10/06 00:14,1317881640,35823
2011/10/06 00:15,1317881700,37385
2011/10/06 00:16,1317881760,36105
2011/10/06 00:17,1317881820,35461
2011/10/06 00:18,1317881880,35139
2011/10/06 00:19,1317881940,35027
2011/10/06 00:20,1317882000,33977
2011/10/06 00:21,1317882060,33384
2011/10/06 00:22,1317882120,33250
2011/10/06 00:23,1317882180,33198
2011/10/06 00:24,1317882240,32321
2011/10/06 00:25,1317882300,31211
2011/10/06 00:26,1317882360,30471
2011/10/06 00:27,1317882420,29942
2011/10/06 00:28,1317882480,29437
2011/10/06 00:29,1317882540,28817
2011/10/06 00:30,1317882600,19677
