time,ts,count
2012-02-05 23:00:38,1328500838,0
2012-02-05 23:01:38,1328500898,0
2012-02-05 23:02:38,1328500958,1
2012-02-05 23:03:38,1328501018,1
2012-02-05 23:04:38,1328501078,0
2012-02-05 23:05:38,1328501138,1
2012-02-05 23:06:38,1328501198,0
2012-02-05 23:07:38,1328501258,0
2012-02-05 23:08:38,1328501318,0
2012-02-05 23:09:38,1328501378,0
2012-02-05 23:10:38,1328501438,1
2012-02-05 23:11:38,1328501498,0
2012-02-05 23:12:38,1328501558,1
2012-02-05 23:13:38,1328501618,1
2012-02-05 23:14:38,1328501678,2
2012-02-05 23:15:38,1328501738,1
2012-02-05 23:16:38,1328501798,0
2012-02-05 23:17:38,1328501858,1
2012-02-05 23:18:38,1328501918,1
2012-02-05 23:19:38,1328501978,1
2012-02-05 23:20:38,1328502038,0
2012-02-05 23:21:38,1328502098,1
2012-02-05 23:22:38,1328502158,1
2012-02-05 23:23:38,1328502218,3
2012-02-05 23:24:38,1328502278,1
2012-02-05 23:25:38,1328502338,2
2012-02-05 23:26:38,1328502398,2
2012-02-05 23:27:38,1328502458,1
2012-02-05 23:28:38,1328502518,0
2012-02-05 23:29:38,1328502578,1
2012-02-05 23:30:38,1328502638,0
2012-02-05 23:31:38,1328502698,3
2012-02-05 23:32:38,1328502758,2
2012-02-05 23:33:38,1328502818,0
2012-02-05 23:34:38,1328502878,0
2012-02-05 23:35:38,1328502938,0
2012-02-05 23:36:38,1328502998,2
2012-02-05 23:37:38,1328503058,1
2012-02-05 23:38:38,1328503118,1
2012-02-05 23:39:38,1328503178,3
2012-02-05 23:40:38,1328503238,1
2012-02-05 23:41:38,1328503298,3
2012-02-05 23:42:38,1328503358,3
2012-02-05 23:43:38,1328503418,0
2012-02-05 23:44:38,1328503478,2
2012-02-05 23:45:38,1328503538,1
2012-02-05 23:46:38,1328503598,1
2012-02-05 23:47:38,1328503658,2
2012-02-05 23:48:38,1328503718,0
2012-02-05 23:49:38,1328503778,0
2012-02-05 23:50:38,1328503838,1
2012-02-05 23:51:38,1328503898,1
2012-02-05 23:52:38,1328503958,2
2012-02-05 23:53:38,1328504018,0
2012-02-05 23:54:38,1328504078,1
2012-02-05 23:55:38,1328504138,1
2012-02-05 23:56:38,1328504198,1
2012-02-05 23:57:38,1328504258,0
2012-02-05 23:58:38,1328504318,0
2012-02-05 23:59:38,1328504378,1
2012-02-06 00:00:38,1328504438,2
2012-02-06 00:01:38,1328504498,2
2012-02-06 00:02:38,1328504558,2
2012-02-06 00:03:38,1328504618,1
2012-02-06 00:04:38,1328504678,0
2012-02-06 00:05:38,1328504738,2
2012-02-06 00:06:38,1328504798,1
2012-02-06 00:07:38,1328504858,2
2012-02-06 00:08:38,1328504918,2
2012-02-06 00:09:38,1328504978,1
2012-02-06 00:10:38,1328505038,0
2012-02-06 00:11:38,1328505098,0
2012-02-06 00:12:38,1328505158,3
2012-02-06 00:13:38,1328505218,3
2012-02-06 00:14:38,1328505278,2
2012-02-06 00:15:38,1328505338,2
2012-02-06 00:16:38,1328505398,0
2012-02-06 00:17:38,1328505458,0
2012-02-06 00:18:38,1328505518,0
2012-02-06 00:19:38,1328505578,3
2012-02-06 00:20:38,1328505638,66
2012-02-06 00:21:38,1328505698,182
2012-02-06 00:22:38,1328505758,76
2012-02-06 00:23:38,1328505818,48
2012-02-06 00:24:38,1328505878,100
2012-02-06 00:25:38,1328505938,61
2012-02-06 00:26:38,1328505998,28
2012-02-06 00:27:38,1328506058,38
2012-02-06 00:28:38,1328506118,82
2012-02-06 00:29:38,1328506178,23
2012-02-06 00:30:38,1328506238,30
2012-02-06 00:31:38,1328506298,22
2012-02-06 00:32:38,1328506358,18
2012-02-06 00:33:38,1328506418,20
2012-02-06 00:34:38,1328506478,42
2012-02-06 00:35:38,1328506538,48
2012-02-06 00:36:38,1328506598,23
2012-02-06 00:37:38,1328506658,30
2012-02-06 00:38:38,1328506718,47
2012-02-06 00:39:38,1328506778,25
2012-02-06 00:40:38,1328506838,18
2012-02-06 00:41:38,1328506898,30
2012-02-06 00:42:38,1328506958,33
2012-02-06 00:43:38,1328507018,20
2012-02-06 00:44:38,1328507078,30
2012-02-06 00:45:38,1328507138,28
2012-02-06 00:46:38,1328507198,38
2012-02-06 00:47:38,1328507258,22
2012-02-06 00:48:38,1328507318,28
2012-02-06 00:49:38,1328507378,11
2012-02-06 00:50:38,1328507438,35
2012-02-06 00:51:38,1328507498,27
2012-02-06 00:52:38,1328507558,29
2012-02-06 00:53:38,1328507618,10
2012-02-06 00:54:38,1328507678,9
2012-02-06 00:55:38,1328507738,8
2012-02-06 00:56:38,1328507798,25
2012-02-06 00:57:38,1328507858,34
2012-02-06 00:58:38,1328507918,38
2012-02-06 00:59:38,1328507978,18
2012-02-06 01:00:38,1328508038,35
2012-02-06 01:01:38,1328508098,27
2012-02-06 01:02:38,1328508158,15
2012-02-06 01:03:38,1328508218,12
2012-02-06 01:04:38,1328508278,7
2012-02-06 01:05:38,1328508338,9
2012-02-06 01:06:38,1328508398,13
2012-02-06 01:07:38,1328508458,8
2012-02-06 01:08:38,1328508518,17
2012-02-06 01:09:38,1328508578,4
2012-02-06 01:10:38,1328508638,11
2012-02-06 01:11:38,1328508698,8
2012-02-06 01:12:38,1328508758,15
2012-02-06 01:13:38,1328508818,6
2012-02-06 01:14:38,1328508878,4
2012-02-06 01:15:38,1328508938,4
2012-02-06 01:16:38,1328508998,19
2012-02-06 01:17:38,1328509058,35
2012-02-06 01:18:38,1328509118,31
2012-02-06 01:19:38,1328509178,16
2012-02-06 01:20:38,1328509238,9
2012-02-06 01:21:38,1328509298,35
2012-02-06 01:22:38,1328509358,25
2012-02-06 01:23:38,1328509418,22
2012-02-06 01:24:38,1328509478,21
2012-02-06 01:25:38,1328509538,20
2012-02-06 01:26:38,1328509598,18
2012-02-06 01:27:38,1328509658,22
2012-02-06 01:28:38,1328509718,22
2012-02-06 01:29:38,1328509778,10
2012-02-06 01:30:38,1328509838,15
2012-02-06 01:31:38,1328509898,14
2012-02-06 01:32:38,1328509958,14
2012-02-06 01:33:38,1328510018,14
2012-02-06 01:34:38,1328510078,12
2012-02-06 01:35:38,1328510138,19
2012-02-06 01:36:38,1328510198,18
2012-02-06 01:37:38,1328510258,18
2012-02-06 01:38:38,1328510318,19
2012-02-06 01:39:38,1328510378,15
2012-02-06 01:40:38,1328510438,16
2012-02-06 01:41:38,1328510498,16
2012-02-06 01:42:38,1328510558,19
2012-02-06 01:43:38,1328510618,19
2012-02-06 01:44:38,1328510678,18
2012-02-06 01:45:38,1328510738,21
2012-02-06 01:46:38,1328510798,15
2012-02-06 01:47:38,1328510858,8
2012-02-06 01:48:38,1328510918,20
2012-02-06 01:49:38,1328510978,20
2012-02-06 01:50:38,1328511038,19
2012-02-06 01:51:38,1328511098,18
2012-02-06 01:52:38,1328511158,14
2012-02-06 01:53:38,1328511218,14
2012-02-06 01:54:38,1328511278,12
2012-02-06 01:55:38,1328511338,14
2012-02-06 01:56:38,1328511398,14
2012-02-06 01:57:38,1328511458,11
2012-02-06 01:58:38,1328511518,17
2012-02-06 01:59:38,1328511578,15
2012-02-06 02:00:38,1328511638,11
2012-02-06 02:01:38,1328511698,18
2012-02-06 02:02:38,1328511758,13
2012-02-06 02:03:38,1328511818,16
2012-02-06 02:04:38,1328511878,15
2012-02-06 02:05:38,1328511938,3
2012-02-06 02:06:38,1328511998,5
2012-02-06 02:07:38,1328512058,12
2012-02-06 02:08:38,1328512118,9
2012-02-06 02:09:38,1328512178,10
2012-02-06 02:10:38,1328512238,15
2012-02-06 02:11:38,1328512298,11
2012-02-06 02:12:38,1328512358,10
2012-02-06 02:13:38,1328512418,14
2012-02-06 02:14:38,1328512478,14
2012-02-06 02:15:38,1328512538,6
2012-02-06 02:16:38,1328512598,18
2012-02-06 02:17:38,1328512658,18
2012-02-06 02:18:38,1328512718,12
2012-02-06 02:19:38,1328512778,10
2012-02-06 02:20:38,1328512838,11
2012-02-06 02:21:38,1328512898,9
2012-02-06 02:22:38,1328512958,13
2012-02-06 02:23:38,1328513018,8
2012-02-06 02:24:38,1328513078,9
2012-02-06 02:25:38,1328513138,9
2012-02-06 02:26:38,1328513198,12
2012-02-06 02:27:38,1328513258,15
2012-02-06 02:28:38,1328513318,13
2012-02-06 02:29:38,1328513378,9
2012-02-06 02:30:38,1328513438,12
2012-02-06 02:31:38,1328513498,9
2012-02-06 02:32:38,1328513558,9
2012-02-06 02:33:38,1328513618,7
2012-02-06 02:34:38,1328513678,5
2012-02-06 02:35:38,1328513738,5
2012-02-06 02:36:38,1328513798,11
2012-02-06 02:37:38,1328513858,5
2012-02-06 02:38:38,1328513918,6
