time,ts,count
2012-02-06 00:00:44,1328504444,25
2012-02-06 00:01:44,1328504504,22
2012-02-06 00:02:44,1328504564,26
2012-02-06 00:03:44,1328504624,26
2012-02-06 00:04:44,1328504684,30
2012-02-06 00:05:44,1328504744,24
2012-02-06 00:06:44,1328504804,50
2012-02-06 00:07:44,1328504864,45
2012-02-06 00:08:44,1328504924,34
2012-02-06 00:09:44,1328504984,31
2012-02-06 00:10:44,1328505044,22
2012-02-06 00:11:44,1328505104,16
2012-02-06 00:12:44,1328505164,117
2012-02-06 00:13:44,1328505224,48
2012-02-06 00:14:44,1328505284,44
2012-02-06 00:15:44,1328505344,36
2012-02-06 00:16:44,1328505404,42
2012-02-06 00:17:44,1328505464,25
2012-02-06 00:18:44,1328505524,30
2012-02-06 00:19:44,1328505584,15397
2012-02-06 00:20:44,1328505644,24038
2012-02-06 00:21:44,1328505704,15903
2012-02-06 00:22:44,1328505764,10427
2012-02-06 00:23:44,1328505824,7601
2012-02-06 00:24:44,1328505884,6686
2012-02-06 00:25:44,1328505944,5410
2012-02-06 00:26:44,1328506004,4645
2012-02-06 00:27:44,1328506064,4091
2012-02-06 00:28:44,1328506124,3545
2012-02-06 00:29:44,1328506184,3083
2012-02-06 00:30:44,1328506244,2092
2012-02-06 00:31:44,1328506304,2308
2012-02-06 00:32:44,1328506364,2280
2012-02-06 00:33:44,1328506424,2137
2012-02-06 00:34:44,1328506484,1937
2012-02-06 00:35:44,1328506544,1353
2012-02-06 00:36:44,1328506604,1504
2012-02-06 00:37:44,1328506664,1628
2012-02-06 00:38:44,1328506724,1528
2012-02-06 00:39:44,1328506784,1388
2012-02-06 00:40:44,1328506844,1384
2012-02-06 00:41:44,1328506904,1427
2012-02-06 00:42:44,1328506964,968
2012-02-06 00:43:44,1328507024,1024
2012-02-06 00:44:44,1328507084,1027
2012-02-06 00:45:44,1328507144,943
2012-02-06 00:46:44,1328507204,784
2012-02-06 00:47:44,1328507264,709
2012-02-06 00:48:44,1328507324,800
2012-02-06 00:49:44,1328507384,713
2012-02-06 00:50:44,1328507444,645
2012-02-06 00:51:44,1328507504,584
2012-02-06 00:52:44,1328507564,623
2012-02-06 00:53:44,1328507624,608
2012-02-06 00:54:44,1328507684,566
2012-02-06 00:55:44,1328507744,607
2012-02-06 00:56:44,1328507804,556
2012-02-06 00:57:44,1328507864,550
2012-02-06 00:58:44,1328507924,545
2012-02-06 00:59:44,1328507984,468
2012-02-06 01:00:44,1328508044,376
2012-02-06 01:01:44,1328508104,232
2012-02-06 01:02:44,1328508164,216
2012-02-06 01:03:44,1328508224,236
2012-02-06 01:04:44,1328508284,225
2012-02-06 01:05:44,1328508344,175
2012-02-06 01:06:44,1328508404,151
2012-02-06 01:07:44,1328508464,171
2012-02-06 01:08:44,1328508524,160
2012-02-06 01:09:44,1328508584,150
2012-02-06 01:10:44,1328508644,142
2012-02-06 01:11:44,1328508704,124
2012-02-06 01:12:44,1328508764,196
2012-02-06 01:13:44,1328508824,165
2012-02-06 01:14:44,1328508884,179
2012-02-06 01:15:44,1328508944,240
2012-02-06 01:16:44,1328509004,297
2012-02-06 01:17:44,1328509064,271
2012-02-06 01:18:44,1328509124,268
2012-02-06 01:19:44,1328509184,271
2012-02-06 01:20:44,1328509244,250
2012-02-06 01:21:44,1328509304,272
2012-02-06 01:22:44,1328509364,265
2012-02-06 01:23:44,1328509424,228
2012-02-06 01:24:44,1328509484,243
2012-02-06 01:25:44,1328509544,238
2012-02-06 01:26:44,1328509604,239
2012-02-06 01:27:44,1328509664,209
2012-02-06 01:28:44,1328509724,215
2012-02-06 01:29:44,1328509784,195
2012-02-06 01:30:44,1328509844,267
2012-02-06 01:31:44,1328509904,187
2012-02-06 01:32:44,1328509964,195
2012-02-06 01:33:44,1328510024,171
2012-02-06 01:34:44,1328510084,166
2012-02-06 01:35:44,1328510144,212
2012-02-06 01:36:44,1328510204,149
2012-02-06 01:37:44,1328510264,156
2012-02-06 01:38:44,1328510324,91
2012-02-06 01:39:44,1328510384,156
2012-02-06 01:40:44,1328510444,169
2012-02-06 01:41:44,1328510504,160
2012-02-06 01:42:44,1328510564,201
2012-02-06 01:43:44,1328510624,175
2012-02-06 01:44:44,1328510684,152
2012-02-06 01:45:44,1328510744,159
2012-02-06 01:46:44,1328510804,131
2012-02-06 01:47:44,1328510864,187
2012-02-06 01:48:44,1328510924,231
2012-02-06 01:49:44,1328510984,200
2012-02-06 01:50:44,1328511044,178
2012-02-06 01:51:44,1328511104,145
2012-02-06 01:52:44,1328511164,154
2012-02-06 01:53:44,1328511224,136
2012-02-06 01:54:44,1328511284,124
2012-02-06 01:55:44,1328511344,118
2012-02-06 01:56:44,1328511404,147
2012-02-06 01:57:44,1328511464,123
2012-02-06 01:58:44,1328511524,100
2012-02-06 01:59:44,1328511584,109
2012-02-06 02:00:44,1328511644,100
2012-02-06 02:01:44,1328511704,108
2012-02-06 02:02:44,1328511764,99
2012-02-06 02:03:44,1328511824,105
2012-02-06 02:04:44,1328511884,85
2012-02-06 02:05:44,1328511944,95
2012-02-06 02:06:44,1328512004,106
2012-02-06 02:07:44,1328512064,85
2012-02-06 02:08:44,1328512124,84
2012-02-06 02:09:44,1328512184,112
2012-02-06 02:10:44,1328512244,100
2012-02-06 02:11:44,1328512304,121
2012-02-06 02:12:44,1328512364,110
2012-02-06 02:13:44,1328512424,122
2012-02-06 02:14:44,1328512484,114
2012-02-06 02:15:44,1328512544,86
2012-02-06 02:16:44,1328512604,116
2012-02-06 02:17:44,1328512664,104
2012-02-06 02:18:44,1328512724,73
2012-02-06 02:19:44,1328512784,88
2012-02-06 02:20:44,1328512844,128
2012-02-06 02:21:44,1328512904,115
2012-02-06 02:22:44,1328512964,105
2012-02-06 02:23:44,1328513024,109
2012-02-06 02:24:44,1328513084,83
2012-02-06 02:25:44,1328513144,83
2012-02-06 02:26:44,1328513204,113
2012-02-06 02:27:44,1328513264,117
2012-02-06 02:28:44,1328513324,122
2012-02-06 02:29:44,1328513384,110
2012-02-06 02:30:44,1328513444,96
2012-02-06 02:31:44,1328513504,106
2012-02-06 02:32:44,1328513564,76
2012-02-06 02:33:44,1328513624,78
2012-02-06 02:34:44,1328513684,67
2012-02-06 02:35:44,1328513744,83
2012-02-06 02:36:44,1328513804,83
2012-02-06 02:37:44,1328513864,63
2012-02-06 02:38:44,1328513924,82
2012-02-06 02:39:44,1328513984,72
2012-02-06 02:40:44,1328514044,83
2012-02-06 02:41:44,1328514104,80
2012-02-06 02:42:44,1328514164,60
2012-02-06 02:43:44,1328514224,44
2012-02-06 02:44:44,1328514284,56
2012-02-06 02:45:44,1328514344,42
2012-02-06 02:46:44,1328514404,57
2012-02-06 02:47:44,1328514464,54
2012-02-06 02:48:44,1328514524,41
2012-02-06 02:49:44,1328514584,53
2012-02-06 02:50:44,1328514644,34
2012-02-06 02:51:44,1328514704,36
2012-02-06 02:52:44,1328514764,33
2012-02-06 02:53:44,1328514824,29
2012-02-06 02:54:44,1328514884,48
2012-02-06 02:55:44,1328514944,44
2012-02-06 02:56:44,1328515004,71
2012-02-06 02:57:44,1328515064,68
2012-02-06 02:58:44,1328515124,53
2012-02-06 02:59:44,1328515184,61
