time,ts,count
2013-07-15 01:00:00,1373850000,16
2013-07-15 02:00:00,1373853600,4
2013-07-15 03:00:00,1373857200,8
2013-07-15 04:00:00,1373860800,1
2013-07-15 05:00:00,1373864400,8
2013-07-15 06:00:00,1373868000,8
2013-07-15 07:00:00,1373871600,1
2013-07-15 08:00:00,1373875200,9
2013-07-15 09:00:00,1373878800,2
2013-07-15 10:00:00,1373882400,0
2013-07-15 11:00:00,1373886000,1
2013-07-15 12:00:00,1373889600,1
2013-07-15 13:00:00,1373893200,2
2013-07-15 14:00:00,1373896800,2
2013-07-15 15:00:00,1373900400,6
2013-07-15 16:00:00,1373904000,10
2013-07-15 17:00:00,1373907600,0
2013-07-15 18:00:00,1373911200,6
2013-07-15 19:00:00,1373914800,5
2013-07-15 20:00:00,1373918400,3
2013-07-15 21:00:00,1373922000,9
2013-07-15 22:00:00,1373925600,13
2013-07-15 23:00:00,1373929200,4
2013-07-16 00:00:00,1373932800,2
2013-07-16 01:00:00,1373936400,11
2013-07-16 02:00:00,1373940000,7
2013-07-16 03:00:00,1373943600,31
2013-07-16 04:00:00,1373947200,21
2013-07-16 05:00:00,1373950800,8
2013-07-16 06:00:00,1373954400,5
2013-07-16 07:00:00,1373958000,4
2013-07-16 08:00:00,1373961600,0
2013-07-16 09:00:00,1373965200,3
2013-07-16 10:00:00,1373968800,3
2013-07-16 11:00:00,1373972400,6
2013-07-16 12:00:00,1373976000,5
2013-07-16 13:00:00,1373979600,4
2013-07-16 14:00:00,1373983200,8
2013-07-16 15:00:00,1373986800,0
2013-07-16 16:00:00,1373990400,12
2013-07-16 17:00:00,1373994000,6
2013-07-16 18:00:00,1373997600,6
2013-07-16 19:00:00,1374001200,20
2013-07-16 20:00:00,1374004800,8
2013-07-16 21:00:00,1374008400,7
2013-07-16 22:00:00,1374012000,2
2013-07-16 23:00:00,1374015600,3
2013-07-17 00:00:00,1374019200,5
2013-07-17 01:00:00,1374022800,6
2013-07-17 02:00:00,1374026400,15
2013-07-17 03:00:00,1374030000,13
2013-07-17 04:00:00,1374033600,8
2013-07-17 05:00:00,1374037200,20
2013-07-17 06:00:00,1374040800,9
2013-07-17 07:00:00,1374044400,16
2013-07-17 08:00:00,1374048000,6
2013-07-17 09:00:00,1374051600,8
2013-07-17 10:00:00,1374055200,6
2013-07-17 11:00:00,1374058800,7
2013-07-17 12:00:00,1374062400,3
2013-07-17 13:00:00,1374066000,15
2013-07-17 14:00:00,1374069600,5
2013-07-17 15:00:00,1374073200,0
2013-07-17 16:00:00,1374076800,0
2013-07-17 17:00:00,1374080400,15
2013-07-17 18:00:00,1374084000,17
2013-07-17 19:00:00,1374087600,14
2013-07-17 20:00:00,1374091200,25
2013-07-17 21:00:00,1374094800,14
2013-07-17 22:00:00,1374098400,749
2013-07-17 23:00:00,1374102000,1323
2013-07-18 00:00:00,1374105600,1011
2013-07-18 01:00:00,1374109200,508
2013-07-18 02:00:00,1374112800,205
2013-07-18 03:00:00,1374116400,234
2013-07-18 04:00:00,1374120000,145
2013-07-18 05:00:00,1374123600,417
2013-07-18 06:00:00,1374127200,41
2013-07-18 07:00:00,1374130800,156
2013-07-18 08:00:00,1374134400,160
2013-07-18 09:00:00,1374138000,187
2013-07-18 10:00:00,1374141600,107
2013-07-18 11:00:00,1374145200,168
2013-07-18 12:00:00,1374148800,7
2013-07-18 13:00:00,1374152400,219
2013-07-18 14:00:00,1374156000,226
2013-07-18 15:00:00,1374159600,244
2013-07-18 16:00:00,1374163200,259
2013-07-18 17:00:00,1374166800,339
2013-07-18 18:00:00,1374170400,200
2013-07-18 19:00:00,1374174000,313
2013-07-18 20:00:00,1374177600,336
2013-07-18 21:00:00,1374181200,332
2013-07-18 22:00:00,1374184800,343
2013-07-18 23:00:00,1374188400,304
2013-07-19 00:00:00,1374192000,112
2013-07-19 01:00:00,1374195600,300
2013-07-19 02:00:00,1374199200,347
2013-07-19 03:00:00,1374202800,288
2013-07-19 04:00:00,1374206400,64
2013-07-19 05:00:00,1374210000,135
2013-07-19 06:00:00,1374213600,100
2013-07-19 07:00:00,1374217200,77
2013-07-19 08:00:00,1374220800,70
2013-07-19 09:00:00,1374224400,58
2013-07-19 10:00:00,1374228000,41
2013-07-19 11:00:00,1374231600,53
2013-07-19 12:00:00,1374235200,56
2013-07-19 13:00:00,1374238800,78
2013-07-19 14:00:00,1374242400,58
2013-07-19 15:00:00,1374246000,625
2013-07-19 16:00:00,1374249600,225
2013-07-19 17:00:00,1374253200,219
