time,ts,count
2013-07-22 16:00:00,1374508800,1
2013-07-22 17:00:00,1374512400,0
2013-07-22 18:00:00,1374516000,4
2013-07-22 19:00:00,1374519600,5
2013-07-22 20:00:00,1374523200,2
2013-07-22 21:00:00,1374526800,11
2013-07-22 22:00:00,1374530400,2
2013-07-22 23:00:00,1374534000,4
2013-07-23 00:00:00,1374537600,18
2013-07-23 01:00:00,1374541200,31
2013-07-23 02:00:00,1374544800,21
2013-07-23 03:00:00,1374548400,7
2013-07-23 04:00:00,1374552000,9
2013-07-23 05:00:00,1374555600,4
2013-07-23 06:00:00,1374559200,1
2013-07-23 07:00:00,1374562800,6
2013-07-23 08:00:00,1374566400,297
2013-07-23 09:00:00,1374570000,47
2013-07-23 10:00:00,1374573600,55
2013-07-23 11:00:00,1374577200,37
2013-07-23 12:00:00,1374580800,33
2013-07-23 13:00:00,1374584400,33
2013-07-23 14:00:00,1374588000,45
2013-07-23 15:00:00,1374591600,19
2013-07-23 16:00:00,1374595200,21
2013-07-23 17:00:00,1374598800,22
2013-07-23 18:00:00,1374602400,15
2013-07-23 19:00:00,1374606000,11
2013-07-23 20:00:00,1374609600,13
2013-07-23 21:00:00,1374613200,25
2013-07-23 22:00:00,1374616800,22
2013-07-23 23:00:00,1374620400,13
2013-07-24 00:00:00,1374624000,23
2013-07-24 01:00:00,1374627600,16
2013-07-24 02:00:00,1374631200,18
2013-07-24 03:00:00,1374634800,5
2013-07-24 04:00:00,1374638400,19
2013-07-24 05:00:00,1374642000,9
2013-07-24 06:00:00,1374645600,12
2013-07-24 07:00:00,1374649200,6
2013-07-24 08:00:00,1374652800,7
2013-07-24 09:00:00,1374656400,13
2013-07-24 10:00:00,1374660000,3
2013-07-24 11:00:00,1374663600,4
2013-07-24 12:00:00,1374667200,4
2013-07-24 13:00:00,1374670800,3
2013-07-24 14:00:00,1374674400,6
2013-07-24 15:00:00,1374678000,2
2013-07-24 16:00:00,1374681600,16
2013-07-24 17:00:00,1374685200,12
2013-07-24 18:00:00,1374688800,17
2013-07-24 19:00:00,1374692400,7
2013-07-24 20:00:00,1374696000,6
2013-07-24 21:00:00,1374699600,54
2013-07-24 22:00:00,1374703200,21
2013-07-24 23:00:00,1374706800,2
2013-07-25 00:00:00,1374710400,6
2013-07-25 01:00:00,1374714000,774
2013-07-25 02:00:00,1374717600,206
2013-07-25 03:00:00,1374721200,922
2013-07-25 04:00:00,1374724800,440
2013-07-25 05:00:00,1374728400,307
2013-07-25 06:00:00,1374732000,1211
2013-07-25 07:00:00,1374735600,169
2013-07-25 08:00:00,1374739200,1044
2013-07-25 09:00:00,1374742800,146
2013-07-25 10:00:00,1374746400,135
2013-07-25 11:00:00,1374750000,136
2013-07-25 12:00:00,1374753600,86
2013-07-25 13:00:00,1374757200,58
2013-07-25 14:00:00,1374760800,69
2013-07-25 15:00:00,1374764400,78
2013-07-25 16:00:00,1374768000,75
2013-07-25 17:00:00,1374771600,33
2013-07-25 18:00:00,1374775200,36
2013-07-25 19:00:00,1374778800,17
2013-07-25 20:00:00,1374782400,55
2013-07-25 21:00:00,1374786000,46
2013-07-25 22:00:00,1374789600,40
2013-07-25 23:00:00,1374793200,21
2013-07-26 00:00:00,1374796800,17
2013-07-26 01:00:00,1374800400,17
2013-07-26 02:00:00,1374804000,25
2013-07-26 03:00:00,1374807600,17
2013-07-26 04:00:00,1374811200,27
2013-07-26 05:00:00,1374814800,13
2013-07-26 06:00:00,1374818400,18
2013-07-26 07:00:00,1374822000,805
2013-07-26 08:00:00,1374825600,282
2013-07-26 09:00:00,1374829200,106
2013-07-26 10:00:00,1374832800,23
2013-07-26 11:00:00,1374836400,23
2013-07-26 12:00:00,1374840000,38
2013-07-26 13:00:00,1374843600,38
