time,ts,count
2014-02-10 00:00:00,1391990400,137
2014-02-10 01:00:00,1391994000,138
2014-02-10 02:00:00,1391997600,160
2014-02-10 03:00:00,1392001200,307
2014-02-10 04:00:00,1392004800,225
2014-02-10 05:00:00,1392008400,278
2014-02-10 06:00:00,1392012000,167
2014-02-10 07:00:00,1392015600,157
2014-02-10 08:00:00,1392019200,136
2014-02-10 09:00:00,1392022800,70
2014-02-10 10:00:00,1392026400,67
2014-02-10 11:00:00,1392030000,29
2014-02-10 12:00:00,1392033600,42
2014-02-10 13:00:00,1392037200,87
2014-02-10 14:00:00,1392040800,79
2014-02-10 15:00:00,1392044400,69
2014-02-10 16:00:00,1392048000,86
2014-02-10 17:00:00,1392051600,110
2014-02-10 18:00:00,1392055200,93
2014-02-10 19:00:00,1392058800,65
2014-02-10 20:00:00,1392062400,72
2014-02-10 21:00:00,1392066000,93
2014-02-10 22:00:00,1392069600,71
2014-02-10 23:00:00,1392073200,80
2014-02-11 00:00:00,1392076800,109
2014-02-11 01:00:00,1392080400,86
2014-02-11 02:00:00,1392084000,73
2014-02-11 03:00:00,1392087600,78
2014-02-11 04:00:00,1392091200,89
2014-02-11 05:00:00,1392094800,177
2014-02-11 06:00:00,1392098400,126
2014-02-11 07:00:00,1392102000,134
2014-02-11 08:00:00,1392105600,76
2014-02-11 09:00:00,1392109200,94
2014-02-11 10:00:00,1392112800,41
2014-02-11 11:00:00,1392116400,36
2014-02-11 12:00:00,1392120000,23
2014-02-11 13:00:00,1392123600,38
2014-02-11 14:00:00,1392127200,39
2014-02-11 15:00:00,1392130800,58
2014-02-11 16:00:00,1392134400,37
2014-02-11 17:00:00,1392138000,62
2014-02-11 18:00:00,1392141600,44
2014-02-11 19:00:00,1392145200,77
2014-02-11 20:00:00,1392148800,64
2014-02-11 21:00:00,1392152400,111
2014-02-11 22:00:00,1392156000,85
2014-02-11 23:00:00,1392159600,99
2014-02-12 00:00:00,1392163200,87
2014-02-12 01:00:00,1392166800,71
2014-02-12 02:00:00,1392170400,67
2014-02-12 03:00:00,1392174000,104
2014-02-12 04:00:00,1392177600,89
2014-02-12 05:00:00,1392181200,156
2014-02-12 06:00:00,1392184800,139
2014-02-12 07:00:00,1392188400,160
2014-02-12 08:00:00,1392192000,56
2014-02-12 09:00:00,1392195600,59
2014-02-12 10:00:00,1392199200,59
2014-02-12 11:00:00,1392202800,46
2014-02-12 12:00:00,1392206400,48
2014-02-12 13:00:00,1392210000,55
2014-02-12 14:00:00,1392213600,82
2014-02-12 15:00:00,1392217200,1112
2014-02-12 16:00:00,1392220800,1562
2014-02-12 17:00:00,1392224400,2246
2014-02-12 18:00:00,1392228000,2336
2014-02-12 19:00:00,1392231600,1879
2014-02-12 20:00:00,1392235200,2084
2014-02-12 21:00:00,1392238800,1995
2014-02-12 22:00:00,1392242400,1754
2014-02-12 23:00:00,1392246000,1904
2014-02-13 00:00:00,1392249600,1854
2014-02-13 01:00:00,1392253200,1385
2014-02-13 02:00:00,1392256800,1188
2014-02-13 03:00:00,1392260400,1036
2014-02-13 04:00:00,1392264000,1232
2014-02-13 05:00:00,1392267600,995
2014-02-13 06:00:00,1392271200,756
2014-02-13 07:00:00,1392274800,590
2014-02-13 08:00:00,1392278400,355
2014-02-13 09:00:00,1392282000,223
2014-02-13 10:00:00,1392285600,163
2014-02-13 11:00:00,1392289200,149
2014-02-13 12:00:00,1392292800,209
2014-02-13 13:00:00,1392296400,224
2014-02-13 14:00:00,1392300000,301
2014-02-13 15:00:00,1392303600,374
2014-02-13 16:00:00,1392307200,368
2014-02-13 17:00:00,1392310800,352
2014-02-13 18:00:00,1392314400,305
2014-02-13 19:00:00,1392318000,340
2014-02-13 20:00:00,1392321600,369
2014-02-13 21:00:00,1392325200,348
2014-02-13 22:00:00,1392328800,373
2014-02-13 23:00:00,1392332400,512
2014-02-14 00:00:00,1392336000,445
2014-02-14 01:00:00,1392339600,320
2014-02-14 02:00:00,1392343200,262
2014-02-14 03:00:00,1392346800,240
2014-02-14 04:00:00,1392350400,214
2014-02-14 05:00:00,1392354000,289
2014-02-14 06:00:00,1392357600,298
2014-02-14 07:00:00,1392361200,200
2014-02-14 08:00:00,1392364800,135
2014-02-14 09:00:00,1392368400,55
2014-02-14 10:00:00,1392372000,38
2014-02-14 11:00:00,1392375600,51
2014-02-14 12:00:00,1392379200,68
2014-02-14 13:00:00,1392382800,136
2014-02-14 14:00:00,1392386400,133
2014-02-14 15:00:00,1392390000,115
2014-02-14 16:00:00,1392393600,136
2014-02-14 17:00:00,1392397200,141
2014-02-14 18:00:00,1392400800,135
2014-02-14 19:00:00,1392404400,88
2014-02-14 20:00:00,1392408000,90
2014-02-14 21:00:00,1392411600,121
2014-02-14 22:00:00,1392415200,77
2014-02-14 23:00:00,1392418800,177.296542089
